citation,document_number,end_page,executive_order_notes,executive_order_number,html_url,pdf_url,publication_date,signing_date,start_page,title
70 FR 67325, 05-22132,67326,"Amended by: EO 13403, May 12, 2006; EO 13463, April 18, 2008",13389,https://www.federalregister.gov/documents/2005/11/04/05-22132/creation-of-the-gulf-coast-recovery-and-rebuilding-council,https://www.gpo.gov/fdsys/pkg/FR-2005-11-04/pdf/05-22132.pdf,11/04/2005,11/01/2005,67323,Creation of the Gulf Coast Recovery and Rebuilding Council
70 FR 67327, 05-22133,67328,"Amended by: EO 13463, April 18, 2008; EO 13504, February 19, 2009; EO 13512, September 29, 2009",13390,https://www.federalregister.gov/documents/2005/11/04/05-22133/establishment-of-a-coordinator-of-federal-support-for-the-recovery-and-rebuilding-of-the-gulf-coast,https://www.gpo.gov/fdsys/pkg/FR-2005-11-04/pdf/05-22133.pdf,11/04/2005,11/01/2005,67327,Establishment of a Coordinator of Federal Support for the Recovery and Rebuilding of the Gulf Coast Region
70 FR 71201, 05-23412,71209,"Amends: EO 13288, March 6, 2003;;
 ;  Supersedes in part: EO 13288, March 6, 2003;;
 ;  See: Notice of February 27, 2006; Notice of February 28, 2007; Notice of March 4, 2008; EO 13469, July 25, 2008; Notice of March 3, 2009; Notice of March 1, 2010",13391,https://www.federalregister.gov/documents/2005/11/25/05-23412/blocking-property-of-additional-persons-undermining-democratic-processes-or-institutions-in-zimbabwe,https://www.gpo.gov/fdsys/pkg/FR-2005-11-25/pdf/05-23412.pdf,11/25/2005,11/22/2005,71199,Blocking Property of Additional Persons Undermining Democratic Processes or Institutions in Zimbabwe
70 FR 75373, 05-24255,75377,"",13392,https://www.federalregister.gov/documents/2005/12/19/05-24255/improving-agency-disclosure-of-information,https://www.gpo.gov/fdsys/pkg/FR-2005-12-19/pdf/05-24255.pdf,12/19/2005,12/14/2005,75371,Improving Agency Disclosure of Information
70 FR 76655, 05-24596,76664,"Supersedes: EO 13368, December 30, 2004",13393,https://www.federalregister.gov/documents/2005/12/27/05-24596/adjustments-of-certain-rates-of-pay,https://www.gpo.gov/fdsys/pkg/FR-2005-12-27/pdf/05-24596.pdf,12/27/2005,12/22/2005,76655,Adjustments of Certain Rates of Pay
70 FR 76665, 05-24597,76666,"Revoked by: EO 13533, March 1, 2010;;
 ;  Revokes: EO 13000, April 24, 1996; Memorandum of June 2, 2005",13394,https://www.federalregister.gov/documents/2005/12/27/05-24597/providing-an-order-of-succession-within-the-department-of-defense,https://www.gpo.gov/fdsys/pkg/FR-2005-12-27/pdf/05-24597.pdf,12/27/2005,12/22/2005,76665,Providing an Order of Succession Within the Department of Defense
71 FR 3203, 06-554,3203,"",13395,https://www.federalregister.gov/documents/2006/01/19/06-554/designating-the-global-fund-to-fight-aids-tuberculosis-and-malaria-as-a-public-international,https://www.gpo.gov/fdsys/pkg/FR-2006-01-19/pdf/06-554.pdf,01/19/2006,01/13/2006,3203,"Designating the Global Fund To Fight AIDS, Tuberculosis and Malaria as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities"
71 FR 7389, 06-1316,7392,"See: Notice of February 5, 2007; Notice of February 5, 2008; Notice of February 4, 2009; Notice of February 2, 2010
Revoked by: EO 13739, September 14, 2016",13396,https://www.federalregister.gov/documents/2006/02/10/06-1316/blocking-property-of-certain-persons-contributing-to-the-conflict-in-cocircte-divoire,https://www.gpo.gov/fdsys/pkg/FR-2006-02-10/pdf/06-1316.pdf,02/10/2006,02/07/2006,7387,Blocking Property of Certain Persons Contributing to the Conflict in C[ocirc]te d'Ivoire
71 FR 12275, 06-2362,12276,"",13397,https://www.federalregister.gov/documents/2006/03/09/06-2362/responsibilities-of-the-department-of-homeland-security-with-respect-to-faith-based-and-community,https://www.gpo.gov/fdsys/pkg/FR-2006-03-09/pdf/06-2362.pdf,03/09/2006,03/07/2006,12273,Responsibilities of the Department of Homeland Security With Respect to Faith-Based and Community Initiatives
71 FR 20519, 06-3865,20521,"",13398,https://www.federalregister.gov/documents/2006/04/21/06-3865/national-mathematics-advisory-panel,https://www.gpo.gov/fdsys/pkg/FR-2006-04-21/pdf/06-3865.pdf,04/21/2006,04/18/2006,20519,National Mathematics Advisory Panel
71 FR 25059, 06-4085,25061,"See: EO 13338, May 11, 2004; EO 13460, February 13, 2008; Notice of May 8, 2006; Notice of May 8, 2007; Notice of May 7, 2008; Notice of May 7, 2009; Notice of May 3, 2010; EO 13572, April 29, 2011; EO 13573, May 18, 2011; EO 13582, August 17, 2011",13399,https://www.federalregister.gov/documents/2006/04/28/06-4085/blocking-property-of-additional-persons-in-connection-with-the-national-emergency-with-respect-to,https://www.gpo.gov/fdsys/pkg/FR-2006-04-28/pdf/06-4085.pdf,04/28/2006,04/25/2006,25059,Blocking Property of Additional Persons in Connection With the National Emergency With Respect to Syria
71 FR 25483, 06-4121,25486,"See: EO 13067, November 3, 1997; Notice of November 1, 2006; Notice of November 1, 2007; Notice of October 30, 2008; Notice of October 27, 2009",13400,https://www.federalregister.gov/documents/2006/05/01/06-4121/blocking-property-of-persons-in-connection-with-the-conflict-in-sudans-darfur-region,https://www.gpo.gov/fdsys/pkg/FR-2006-05-01/pdf/06-4121.pdf,05/01/2006,04/26/2006,25483,Blocking Property of Persons in Connection With the Conflict in Sudan's Darfur Region
71 FR 25737, 06-4132,25738,"See: EO 12820, November 5, 1992",13401,https://www.federalregister.gov/documents/2006/05/01/06-4132/responsibilities-of-federal-departments-and-agencies-with-respect-to-volunteer-community-service,https://www.gpo.gov/fdsys/pkg/FR-2006-05-01/pdf/06-4132.pdf,05/01/2006,"",25737,Responsibilities of Federal Departments and Agencies With Respect to Volunteer Community Service
71 FR 27945, 06-4552,27947,"Amended by: EO 13414, November 3, 2006",13402,https://www.federalregister.gov/documents/2006/05/15/06-4552/strengthening-federal-efforts-to-protect-against-identity-theft,https://www.gpo.gov/fdsys/pkg/FR-2006-05-15/pdf/06-4552.pdf,05/15/2006,05/10/2006,27945,Strengthening Federal Efforts To Protect Against Identity Theft
71 FR 28543, 06-4652,28544,"Amends: EO 11030, June 19, 1962;;
 ;  Amends: EO 13279, December 12, 2002;;
 ;  Amends: EO 13339, May 13, 2004;;
 ;  Amends: EO 13381, June 27, 2005;;
 ;  Amends: EO 13389, November 1, 2005;;
 ;  Revokes: EO 13011, July 16, 1996",13403,https://www.federalregister.gov/documents/2006/05/16/06-4652/amendments-to-executive-orders-11030-13279-13339-13381-and-13389-and-revocation-of-executive-order,https://www.gpo.gov/fdsys/pkg/FR-2006-05-16/pdf/06-4652.pdf,05/16/2006,05/12/2006,28543,"Amendments to Executive Orders 11030, 13279, 13339, 13381, and 13389, and Revocation of Executive Order 13011"
71 FR 33593, 06-5351,33594,"",13404,https://www.federalregister.gov/documents/2006/06/12/06-5351/task-force-on-new-americans,https://www.gpo.gov/fdsys/pkg/FR-2006-06-12/pdf/06-5351.pdf,06/12/2006,06/07/2006,33593,Task Force on New Americans
71 FR 35485, 06-5592,35487,"See: Notice of June 14, 2007; Notice of June 6, 2008; Notice of June 12, 2009; Notice of June 8, 2010",13405,https://www.federalregister.gov/documents/2006/06/20/06-5592/blocking-property-of-certain-persons-undermining-democratic-processes-or-institutions-in-belarus,https://www.gpo.gov/fdsys/pkg/FR-2006-06-20/pdf/06-5592.pdf,06/20/2006,"",35483,Blocking Property of Certain Persons Undermining Democratic Processes or Institutions in Belarus
71 FR 36973, 06-5828,36974,"See: EO 12630, March 15, 1988",13406,https://www.federalregister.gov/documents/2006/06/28/06-5828/protecting-the-property-rights-of-the-american-people,https://www.gpo.gov/fdsys/pkg/FR-2006-06-28/pdf/06-5828.pdf,06/28/2006,06/23/2006,36971,Protecting the Property Rights of the American People
71 FR 36975, 06-5829,36977,"Amends: EO 12472, April 3, 1984",13407,https://www.federalregister.gov/documents/2006/06/28/06-5829/public-alert-and-warning-system,https://www.gpo.gov/fdsys/pkg/FR-2006-06-28/pdf/06-5829.pdf,06/28/2006,06/26/2006,36975,Public Alert and Warning System
71 FR 37807, 06-5984,37807,"Amends: EO 13381, June 27, 2005",13408,https://www.federalregister.gov/documents/2006/07/03/06-5984/amending-executive-order-13381-as-amended-to-extend-its-duration-by-one-year,https://www.gpo.gov/fdsys/pkg/FR-2006-07-03/pdf/06-5984.pdf,07/03/2006,06/29/2006,37807,"Amending Executive Order 13381, As Amended, To Extend its Duration by One Year"
71 FR 38511, 06-6101,38512,"",13409,https://www.federalregister.gov/documents/2006/07/07/06-6101/establishing-an-emergency-board-to-investigate-a-dispute-between-southeastern-pennsylvania,https://www.gpo.gov/fdsys/pkg/FR-2006-07-07/pdf/06-6101.pdf,07/07/2006,07/03/2006,38511,Establishing an Emergency Board To Investigate a Dispute Between Southeastern Pennsylvania Transportation Authority and Its Locomotive Engineers Represented by the Brotherhood of Locomotive Engineers and Trainmen
71 FR 51089, 06-7220,51091,"",13410,https://www.federalregister.gov/documents/2006/08/28/06-7220/promoting-quality-and-efficient-health-care-in-federal-government-administered-or-sponsored-health,https://www.gpo.gov/fdsys/pkg/FR-2006-08-28/pdf/06-7220.pdf,08/28/2006,08/22/2006,51087,Promoting Quality and Efficient Health Care in Federal Government Administered or Sponsored Health Care Programs
71 FR 52729, 06-7492,52731,"",13411,https://www.federalregister.gov/documents/2006/09/06/06-7492/improving-assistance-for-disaster-victims,https://www.gpo.gov/fdsys/pkg/FR-2006-09-06/pdf/06-7492.pdf,09/06/2006,08/29/2006,52727,Improving Assistance for Disaster Victims
71 FR 61369, 06-8769,61371,"See: EO 13067, November 3, 1997; Notice of November 1, 2006; Notice of November 1, 2007; Notice of October 30, 2008; Notice of October 27, 2009",13412,https://www.federalregister.gov/documents/2006/10/17/06-8769/blocking-property-of-and-prohibiting-transactions-with-the-government-of-sudan,https://www.gpo.gov/fdsys/pkg/FR-2006-10-17/pdf/06-8769.pdf,10/17/2006,10/13/2006,61367,Blocking Property of and Prohibiting Transactions With the Government of Sudan
71 FR 64103, 06-9020,64108,"See: Notice of October 24, 2007; Notice of October 22, 2008; Notice of October 20, 2009;
 Amended by: EO 13671, July 8, 2014",13413,https://www.federalregister.gov/documents/2006/10/31/06-9020/blocking-property-of-certain-persons-contributing-to-the-conflict-in-the-democratic-republic-of-the,https://www.gpo.gov/fdsys/pkg/FR-2006-10-31/pdf/06-9020.pdf,10/31/2006,10/27/2006,64103,Blocking Property of Certain Persons Contributing to the Conflict in the Democratic Republic of the Congo
71 FR 65365, 06-9148,65365,"Amends: EO 13402, May 10, 2006",13414,https://www.federalregister.gov/documents/2006/11/08/06-9148/amendment-to-executive-order-13402-strengthening-federal-efforts-to-protect-against-identity-theft,https://www.gpo.gov/fdsys/pkg/FR-2006-11-08/pdf/06-9148.pdf,11/08/2006,11/03/2006,65365,"Amendment to Executive Order 13402, Strengthening Federal Efforts To Protect Against Identity Theft"
71 FR 70641, 06-9561,70641,"Revokes in part: EO 12748, February 1, 1991; EO 12828, January 5, 1993",13415,https://www.federalregister.gov/documents/2006/12/05/06-9561/assignment-of-certain-pay-related-functions,https://www.gpo.gov/fdsys/pkg/FR-2006-12-05/pdf/06-9561.pdf,12/05/2006,12/01/2006,70639,Assignment of Certain Pay-Related Functions
71 FR 71033, 06-9619,71035,"See: EO 12866, September 30, 1993",13416,https://www.federalregister.gov/documents/2006/12/07/06-9619/strengthening-surface-transportation-security,https://www.gpo.gov/fdsys/pkg/FR-2006-12-07/pdf/06-9619.pdf,12/07/2006,12/05/2006,71031,Strengthening Surface Transportation Security
71 FR 71457, 06-9632,71461,"",13417,https://www.federalregister.gov/documents/2006/12/08/06-9632/establishing-an-emergency-board-to-investigate-disputes-between-metro-north-railroad-and-certain-of,https://www.gpo.gov/fdsys/pkg/FR-2006-12-08/pdf/06-9632.pdf,12/08/2006,12/06/2006,71457,Establishing an Emergency Board To Investigate Disputes Between Metro-North Railroad and Certain of Its Employees Represented by Certain Labor Organizations
71 FR 75647, 06-9770,75647,"Amends: EO 13317, September 25, 2003",13418,https://www.federalregister.gov/documents/2006/12/18/06-9770/amendment-to-executive-order-13317-volunteers-for-prosperity,https://www.gpo.gov/fdsys/pkg/FR-2006-12-18/pdf/06-9770.pdf,12/18/2006,12/14/2006,75647,"Amendment to Executive Order 13317, Volunteers for Prosperity"
71 FR 77565, 06-9895,77567,"See: EO 12881, November 23, 1993; EO 13346, July 8, 2004; EO 13479, November 18, 2008",13419,https://www.federalregister.gov/documents/2006/12/26/06-9895/national-aeronautics-research-and-development,https://www.gpo.gov/fdsys/pkg/FR-2006-12-26/pdf/06-9895.pdf,12/26/2006,12/20/2006,77563,National Aeronautics Research and Development
71 FR 77571, 06-9896,77580,"Supersedes: EO 13393, December 22, 2005;;
 ;  Superseded by: EO 13454, January 4, 2008",13420,https://www.federalregister.gov/documents/2006/12/26/06-9896/adjustments-of-certain-rates-of-pay,https://www.gpo.gov/fdsys/pkg/FR-2006-12-26/pdf/06-9896.pdf,12/26/2006,12/21/2006,77569,Adjustments of Certain Rates of Pay
72 FR 425, 06-9993,425,"See: EO 11582, February 11, 1971",13421,https://www.federalregister.gov/documents/2007/01/04/06-9993/providing-for-the-closing-of-government-departments-and-agencies-on-january-2-2007,https://www.gpo.gov/fdsys/pkg/FR-2007-01-04/pdf/06-9993.pdf,01/04/2007,12/28/2006,425,"Providing for the Closing of Government Departments and Agencies on January 2, 2007"
72 FR 2763, 07-293,2765,"Amends: EO 12866, September 30, 1993;;
 ;  Revoked by: EO 13497, January 30, 2009",13422,https://www.federalregister.gov/documents/2007/01/23/07-293/further-amendment-to-executive-order-12866-on-regulatory-planning-and-review,https://www.gpo.gov/fdsys/pkg/FR-2007-01-23/pdf/07-293.pdf,01/23/2007,01/18/2007,2763,Further Amendment to Executive Order 12866 on Regulatory Planning and Review
72 FR 3919, 07-374,3923,"Amends: EO 13327, February 4, 2004;;
 ;  Revokes: EO 13101, September 14, 1998; EO 13123, June 3, 1999; EO 13134, August 12, 1999; EO 13148, April 21, 2000; EO 13149, April 21, 2000;;
 ;  See: EO 13432, May 14, 2007; EO 13514, October 5, 2009
Revoked by: EO 13693, March 25, 2015",13423,https://www.federalregister.gov/documents/2007/01/26/07-374/strengthening-federal-environmental-energy-and-transportation-management,https://www.gpo.gov/fdsys/pkg/FR-2007-01-26/pdf/07-374.pdf,01/26/2007,01/24/2007,3917,"Strengthening Federal Environmental, Energy, and Transportation Management"
72 FR 4409, 07-419,4409,"Amends: EO 13285, January 29, 2003",13424,https://www.federalregister.gov/documents/2007/01/30/07-419/further-amendment-to-executive-order-13285-relating-to-the-presidents-council-on-service-and-civic,https://www.gpo.gov/fdsys/pkg/FR-2007-01-30/pdf/07-419.pdf,01/30/2007,01/26/2007,4409,"Further Amendment to Executive Order 13285, Relating to the President's Council on Service and Civic Participation"
72 FR 7737, 07-780,7738,"Supersedes: Military Order of November 13, 2001",13425,https://www.federalregister.gov/documents/2007/02/20/07-780/trial-of-alien-unlawful-enemy-combatants-by-military-commission,https://www.gpo.gov/fdsys/pkg/FR-2007-02-20/pdf/07-780.pdf,02/20/2007,02/14/2007,7737,Trial of Alien Unlawful Enemy Combatants by Military Commission
72 FR 10589, 07-1137,10591,"",13426,https://www.federalregister.gov/documents/2007/03/08/07-1137/establishing-a-commission-on-care-for-americas-returning-wounded-warriors-and-a-task-force-on,https://www.gpo.gov/fdsys/pkg/FR-2007-03-08/pdf/07-1137.pdf,03/08/2007,03/06/2007,10587,Establishing a Commission on Care for America's Returning Wounded Warriors and a Task Force on Returning Global War on Terror Heroes
72 FR 10879, 07-1152,10879,"",13427,https://www.federalregister.gov/documents/2007/03/09/07-1152/extending-privileges-and-immunities-to-the-permanent-observer-mission-of-the-holy-see-to-the-united,https://www.gpo.gov/fdsys/pkg/FR-2007-03-09/pdf/07-1152.pdf,03/09/2007,03/07/2007,10877,Extending Privileges and Immunities to the Permanent Observer Mission of the Holy See to the United Nations
72 FR 16693, 07-1704,16693,"See: EO 7059-A, June 4, 1935; EO 10992, February 9, 1962",13428,https://www.federalregister.gov/documents/2007/04/04/07-1704/renaming-a-national-forest-in-the-commonwealth-of-puerto-rico,https://www.gpo.gov/fdsys/pkg/FR-2007-04-04/pdf/07-1704.pdf,04/04/2007,04/02/2007,16691,Renaming a National Forest in the Commonwealth of Puerto Rico
72 FR 18101, 07-1816,18102,"See: EO 13417, December 6, 2006",13429,https://www.federalregister.gov/documents/2007/04/10/07-1816/establishing-an-emergency-board-to-investigate-a-dispute-between-metro-north-railroad-and-its,https://www.gpo.gov/fdsys/pkg/FR-2007-04-10/pdf/07-1816.pdf,04/10/2007,04/04/2007,18099,Establishing an Emergency Board To Investigate a Dispute Between Metro-North Railroad and Its Maintenance of Way Employees Represented by the International Brotherhood of Teamsters
72 FR 20213, 07-2027,20220,"Amends: EO 12473, April 13, 1984",13430,https://www.federalregister.gov/documents/2007/04/23/07-2027/2007-amendments-to-the-manual-for-courts-martial-united-states,https://www.gpo.gov/fdsys/pkg/FR-2007-04-23/pdf/07-2027.pdf,04/23/2007,04/18/2007,20211,"2007 Amendments to the Manual for Courts-Martial, United States"
72 FR 26709, 07-2367,26710,"",13431,https://www.federalregister.gov/documents/2007/05/11/07-2367/establishment-of-temporary-organization-to-facilitate-united-states-government-assistance-for,https://www.gpo.gov/fdsys/pkg/FR-2007-05-11/pdf/07-2367.pdf,05/11/2007,05/08/2007,26709,Establishment of Temporary Organization To Facilitate United States Government Assistance for Transition in Iraq
72 FR 27717, 07-2462,27719,"Amended by: EO 13693, March 19, 2015
See: EO 12866, September 30, 1993; EO 13423, January 24, 2007",13432,https://www.federalregister.gov/documents/2007/05/16/07-2462/cooperation-among-agencies-in-protecting-the-environment-with-respect-to-greenhouse-gas-emissions,https://www.gpo.gov/fdsys/pkg/FR-2007-05-16/pdf/07-2462.pdf,05/16/2007,05/14/2007,27715,"Cooperation Among Agencies in Protecting the Environment With Respect to Greenhouse Gas Emissions From Motor Vehicles, Nonroad Vehicles, and Nonroad Engines"
72 FR 28441, 07-2518,28442,"",13433,https://www.federalregister.gov/documents/2007/05/18/07-2518/protecting-american-taxpayers-from-payment-of-contingency-fees,https://www.gpo.gov/fdsys/pkg/FR-2007-05-18/pdf/07-2518.pdf,05/18/2007,05/16/2007,28439,Protecting American Taxpayers From Payment of Contingency Fees
72 FR 28583, 07-2570,28585,"",13434,https://www.federalregister.gov/documents/2007/05/22/07-2570/national-security-professional-development,https://www.gpo.gov/fdsys/pkg/FR-2007-05-22/pdf/07-2570.pdf,05/22/2007,05/17/2007,28583,National Security Professional Development
72 FR 34591, 07-3112,34593,"Revoked by: EO 13505, March 9, 2009",13435,https://www.federalregister.gov/documents/2007/06/22/07-3112/expanding-approved-stem-cell-lines-in-ethically-responsible-ways,https://www.gpo.gov/fdsys/pkg/FR-2007-06-22/pdf/07-3112.pdf,06/22/2007,06/20/2007,34589,Expanding Approved Stem Cell Lines in Ethically Responsible Ways
72 FR 36337, 07-3258,36337,"Amends: EO 13381, June 27, 2005",13436,https://www.federalregister.gov/documents/2007/07/03/07-3258/further-amending-executive-order-13381-as-amended-to-extend-its-duration-by-one-year,https://www.gpo.gov/fdsys/pkg/FR-2007-07-03/pdf/07-3258.pdf,07/03/2007,06/28/2007,36337,"Further Amending Executive Order 13381, as Amended, To Extend Its Duration by One Year"
72 FR 36339, 07-3259,36339,"",13437,https://www.federalregister.gov/documents/2007/07/03/07-3259/waiver-under-the-trade-act-of-1974-with-respect-to-turkmenistan,https://www.gpo.gov/fdsys/pkg/FR-2007-07-03/pdf/07-3259.pdf,07/03/2007,06/28/2007,36339,Waiver Under the Trade Act of 1974 With Respect to Turkmenistan
72 FR 39719, 07-3552,39721,"See: EO 13303, May 22, 2003; EO 13315, August 28, 2003; EO 13350, July 29, 2004; EO 13364, November 29, 2004; Notice of May 20, 2008; Notice of May 19, 2009; Notice of May 12, 2010",13438,https://www.federalregister.gov/documents/2007/07/19/07-3552/blocking-property-of-certain-persons-who-threaten-stabilization-efforts-in-iraq,https://www.gpo.gov/fdsys/pkg/FR-2007-07-19/pdf/07-3552.pdf,07/19/2007,07/17/2007,39717,Blocking Property of Certain Persons Who Threaten Stabilization Efforts in Iraq
72 FR 40053, 07-3593,40055,"",13439,https://www.federalregister.gov/documents/2007/07/20/07-3593/establishing-an-interagency-working-group-on-import-safety,https://www.gpo.gov/fdsys/pkg/FR-2007-07-20/pdf/07-3593.pdf,07/20/2007,07/18/2007,40051,Establishing an Interagency Working Group on Import Safety
72 FR 40707, 07-3656,40709,"",13440,https://www.federalregister.gov/documents/2007/07/24/07-3656/interpretation-of-the-geneva-conventions-common-article-3-as-applied-to-a-program-of-detention-and,https://www.gpo.gov/fdsys/pkg/FR-2007-07-24/pdf/07-3656.pdf,07/24/2007,07/20/2007,40705,Interpretation of the Geneva Conventions Common Article 3 as Applied to a Program of Detention and Interrogation Operated by the Central Intelligence Agency
72 FR 43499, 07-3835,43501,"See: Notice of July 30, 2008; Notice of July 30, 2009; Notice of July 29, 2010",13441,https://www.federalregister.gov/documents/2007/08/03/07-3835/blocking-property-of-persons-undermining-the-sovereignty-of-lebanon-or-its-democratic-processes-and,https://www.gpo.gov/fdsys/pkg/FR-2007-08-03/pdf/07-3835.pdf,08/03/2007,08/01/2007,43497,Blocking Property of Persons Undermining the Sovereignty of Lebanon or Its Democratic Processes and Institutions
72 FR 45877, 07-4023,45878,"Amends: EO 13286, February 28, 2003;;
 ;  Revokes: EO 13362, November 29, 2004",13442,https://www.federalregister.gov/documents/2007/08/15/07-4023/amending-the-order-of-succession-in-the-department-of-homeland-security,https://www.gpo.gov/fdsys/pkg/FR-2007-08-15/pdf/07-4023.pdf,08/15/2007,08/13/2007,45875,Amending the Order of Succession in the Department of Homeland Security
72 FR 46537, 07-4115,46538,"",13443,https://www.federalregister.gov/documents/2007/08/20/07-4115/facilitation-of-hunting-heritage-and-wildlife-conservation,https://www.gpo.gov/fdsys/pkg/FR-2007-08-20/pdf/07-4115.pdf,08/20/2007,08/16/2007,46535,Facilitation of Hunting Heritage and Wildlife Conservation
72 FR 52747, 07-4600,52747,"",13444,https://www.federalregister.gov/documents/2007/09/14/07-4600/extending-privileges-and-immunities-to-the-african-union-mission-to-the-united-states,https://www.gpo.gov/fdsys/pkg/FR-2007-09-14/pdf/07-4600.pdf,09/14/2007,09/12/2007,52745,Extending Privileges and Immunities to the African Union Mission to the United States
72 FR 56165, 07-4890,56167,"",13445,https://www.federalregister.gov/documents/2007/10/02/07-4890/strengthening-adult-education,https://www.gpo.gov/fdsys/pkg/FR-2007-10-02/pdf/07-4890.pdf,10/02/2007,09/27/2007,56163,Strengthening Adult Education
72 FR 56175, 07-4906,56178,"Amends: EO 12994, March 21, 1996
Continues: EO 11145, March 7,1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 12131, May 4, 1979; EO 12196, February 26, 1980; EO 12216, June 19, 1980; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13226, September 30, 2001; EO 13231, October 16, 2001; EO 13237, November 28, 2001; EO 13256, February 12, 2002; EO 13265, June 6, 2002; EO 13270, July 3, 2002
Revokes: EO 13369, January 7, 2005
See: EO 13379, June 16, 2005; EO 13386, September 30, 2005
Supersedes in part: EO 13385, September 29, 2005
Superseded in part by: EO 13511, September 29, 2009",13446,https://www.federalregister.gov/documents/2007/10/02/07-4906/continuance-of-certain-federal-advisory-committees-and-amendments-to-and-revocation-of-other,https://www.gpo.gov/fdsys/pkg/FR-2007-10-02/pdf/07-4906.pdf,10/02/2007,09/28/2007,56175,Continuance of Certain Federal Advisory Committees and Amendments to and Revocation of Other Executive Orders
72 FR 56179, 07-4907,56239,"See: EO 12473, April 13, 1984; EO 13262, April 11, 2002",13447,https://www.federalregister.gov/documents/2007/10/02/07-4907/further-2007-amendments-to-the-manual-for-courts--martial-united-states,https://www.gpo.gov/fdsys/pkg/FR-2007-10-02/pdf/07-4907.pdf,10/02/2007,09/28/2007,56179,"Further 2007 Amendments to the Manual for Courts- Martial, United States"
72 FR 60223, 07-5270,60226,"See: EO 13047, May 20, 1997; EO 13310, July 28, 2003; EO 13464, April 30, 2008; Notice of May 16, 2008; Notice of May 14, 2009; Notice of May 13, 2010; EO 13619, July 11, 2012
Amended by: EO 13619, July 11, 2012
Revoked by: EO 13742, October 7, 2016",13448,https://www.federalregister.gov/documents/2007/10/23/07-5270/blocking-property-and-prohibiting-certain-transactions-related-to-burma,https://www.gpo.gov/fdsys/pkg/FR-2007-10-23/pdf/07-5270.pdf,10/23/2007,10/18/2007,60221,Blocking Property and Prohibiting Certain Transactions Related to Burma
72 FR 60531, 07-5299,60532,"See: Proclamation 5030, March 10, 1983",13449,https://www.federalregister.gov/documents/2007/10/24/07-5299/protection-of-striped-bass-and-red-drum-fish-populations,https://www.gpo.gov/fdsys/pkg/FR-2007-10-24/pdf/07-5299.pdf,10/24/2007,10/20/2007,60531,Protection of Striped Bass and Red Drum Fish Populations
72 FR 64519, 07-5726,64522,"",13450,https://www.federalregister.gov/documents/2007/11/15/07-5726/improving-government-program-performance,https://www.gpo.gov/fdsys/pkg/FR-2007-11-15/pdf/07-5726.pdf,11/15/2007,11/13/2007,64517,Improving Government Program Performance
72 FR 65653, 07-5816,65653,"",13451,https://www.federalregister.gov/documents/2007/11/21/07-5816/designating-the-iter-international-fusion-energy-organization-as-a-public-international-organization,https://www.gpo.gov/fdsys/pkg/FR-2007-11-21/pdf/07-5816.pdf,11/21/2007,11/19/2007,65653,"Designating the ITER International Fusion Energy Organization as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities"
72 FR 67825, 07-5919,67829,"",13452,https://www.federalregister.gov/documents/2007/11/30/07-5919/establishing-an-emergency-board-to-investigate-disputes-between-the-national-railroad-passenger,https://www.gpo.gov/fdsys/pkg/FR-2007-11-30/pdf/07-5919.pdf,11/30/2007,11/28/2007,67825,Establishing an Emergency Board To Investigate Disputes Between the National Railroad Passenger Corporation and Certain of Its Employees Represented by Certain Labor Organizations
72 FR 70477, 07-6022,70477,"See: EO 11582, February 11, 1971",13453,https://www.federalregister.gov/documents/2007/12/11/07-6022/closing-of-executive-departments-and-agencies-of-the-federal-government-on-monday-december-24-2007,https://www.gpo.gov/fdsys/pkg/FR-2007-12-11/pdf/07-6022.pdf,12/11/2007,12/06/2007,70475,"Closing of Executive Departments and Agencies of the Federal Government on Monday, December 24, 2007"
73 FR 1481, 08-62,1492,"Supersedes: EO 13420, December 21, 2006;;
 ;  Superseded by: EO 13483, December 18, 2008",13454,https://www.federalregister.gov/documents/2008/01/08/08-62/adjustments-of-certain-rates-of-pay,https://www.gpo.gov/fdsys/pkg/FR-2008-01-08/pdf/08-62.pdf,01/08/2008,01/04/2008,1479,Adjustments of Certain Rates of Pay
73 FR 4445, 08-325,4447,"",13455,https://www.federalregister.gov/documents/2008/01/24/08-325/establishing-the-presidents-advisory-council-on-financial-literacy,https://www.gpo.gov/fdsys/pkg/FR-2008-01-24/pdf/08-325.pdf,01/24/2008,01/22/2008,4443,Establishing the President's Advisory Council on Financial Literacy
73 FR 4677, 08-360,4681,"Amends: EO 11858, May 7, 1975;;
 ;  Revokes in part: EO 12919, June 3, 1994",13456,https://www.federalregister.gov/documents/2008/01/25/08-360/further-amendment-of-executive-order-11858-concerning-foreign-investment-in-the-united-states,https://www.gpo.gov/fdsys/pkg/FR-2008-01-25/pdf/08-360.pdf,01/25/2008,01/23/2008,4675,Further Amendment of Executive Order 11858 Concerning Foreign Investment in the United States
